evidence_label,method,path,handler,source
CONFIGURATION,POST,/enroll,backend.api.enroll.enroll,backend/api/enroll.py:40
CONFIGURATION,POST,/enroll/face/check-pose,backend.api.enroll.check_face_pose,backend/api/enroll.py:158
CONFIGURATION,POST,/authenticate,backend.api.authenticate.authenticate,backend/api/authenticate.py:25
CONFIGURATION,POST,/authenticate/fusion,backend.api.fusion.authenticate_fusion,backend/api/fusion.py:42
CONFIGURATION,POST,/verify/face,backend.api.verify.verify_face,backend/api/verify.py:48
CONFIGURATION,POST,/verify/iris,backend.api.verify.verify_iris,backend/api/verify.py:60
CONFIGURATION,POST,/verify/fingerprint,backend.api.verify.verify_fingerprint,backend/api/verify.py:72
CONFIGURATION,POST,/verify/voice,backend.api.verify.verify_voice,backend/api/verify.py:84
CONFIGURATION,POST,/revoke-template,backend.api.revoke.revoke_template_endpoint,backend/api/revoke.py:49
CONFIGURATION,GET,/templates/{user_id},backend.api.templates.get_template_sets,backend/api/templates.py:30
CONFIGURATION,POST,/templates/{user_id}/activate/{version},backend.api.templates.activate_template_set,backend/api/templates.py:68
CONFIGURATION,POST,/templates/{user_id}/replenish,backend.api.templates.generate_template_set,backend/api/templates.py:102
CONFIGURATION,POST,/templates/{user_id}/generate,backend.api.templates.generate_template_set,backend/api/templates.py:102
CONFIGURATION,POST,/users,backend.api.user.create_user,backend/api/user.py:38
CONFIGURATION,POST,/user/{user_id}/display-name,backend.api.user.update_display_name,backend/api/user.py:50
CONFIGURATION,GET,/user/{user_id},backend.api.user.get_user_modalities,backend/api/user.py:59
CONFIGURATION,GET,/user/{user_id}/enrollment-status,backend.api.user.get_enrollment_status,backend/api/user.py:81
CONFIGURATION,DELETE,/user/{user_id},backend.api.user.delete_user,backend/api/user.py:101
CONFIGURATION,GET,/buildings,backend.api.buildings.list_buildings,backend/api/buildings.py:27
CONFIGURATION,GET,/building/{building_id},backend.api.buildings.get_building_info,backend/api/buildings.py:32
CONFIGURATION,GET,/metrics/{modality},backend.api.metrics.get_metrics,backend/api/metrics.py:72
CONFIGURATION,GET,/audit/system,backend.api.audit.get_system_audit,backend/api/audit.py:62
CONFIGURATION,GET,/audit/{user_id},backend.api.audit.get_user_audit,backend/api/audit.py:73
CONFIGURATION,DELETE,/audit/{user_id},backend.api.audit.delete_user_audit,backend/api/audit.py:93
CONFIGURATION,GET,/system/health,backend.api.system.system_health,backend/api/system.py:81
CONFIGURATION,GET,/health,backend.main.health,backend/main.py:153
