evidence_label,modality,true_cosine_bin,n,mean_error,error_sd,synthetic_predicted_sd
REAL DATA,face,"[-0.2,-0.1)",6704,0.0554012,0.078927,0.08139
REAL DATA,face,"[-0.1,0.0)",15319,0.0190639,0.0943029,0.10137
REAL DATA,face,"[0.0,0.1)",19065,0.00143853,0.103503,0.10599
REAL DATA,face,"[0.1,0.2)",15581,-0.00233089,0.105909,0.10789
REAL DATA,face,"[0.2,0.3)",8998,-0.00181789,0.100284,0.10272
REAL DATA,face,"[0.3,0.4)",4117,-0.00158299,0.0974694,0.09975
REAL DATA,face,"[0.4,0.5)",1760,-0.000449936,0.0904424,0.08712
REAL DATA,face,"[0.5,0.6)",1001,-0.00707691,0.0837479,0.08693
REAL DATA,face,"[0.6,0.7)",1092,-0.00473397,0.0727227,0.06744
REAL DATA,face,"[0.7,0.8)",1269,-0.00524837,0.0583364,0.05466
REAL DATA,face,"[0.8,0.9)",693,-0.00347352,0.0456696,0.04266
REAL DATA,face,"[0.9,1.0)",71,-0.00616084,0.0337049,0.01903
REAL DATA,voice,"[-0.2,-0.1)",1313,0.0450069,0.0712069,0.07926
REAL DATA,voice,"[-0.1,0.0)",2922,0.0177468,0.0893514,0.09796
REAL DATA,voice,"[0.0,0.1)",4057,0.00329601,0.0955106,0.0995
REAL DATA,voice,"[0.1,0.2)",3316,-0.00598355,0.0970525,0.10093
REAL DATA,voice,"[0.2,0.3)",2033,-0.0120935,0.0943436,0.09624
REAL DATA,voice,"[0.3,0.4)",986,-0.00672601,0.0874414,0.08813
REAL DATA,voice,"[0.4,0.5)",461,-0.0118956,0.0897942,0.08381
REAL DATA,voice,"[0.5,0.6)",201,0.0102479,0.0746592,0.0706
REAL DATA,voice,"[0.6,0.7)",188,0.0345964,0.0574538,0.06935
REAL DATA,voice,"[0.7,0.8)",191,0.0066431,0.0484807,0.05706
REAL DATA,voice,"[0.8,0.9)",318,-0.00174988,0.0368204,0.04026
REAL DATA,voice,"[0.9,1.0)",72,-0.00867179,0.0240954,0.01919
REAL DATA,fingerprint,"[0.8,0.9)",22154,-0.00239704,0.0368809,0.04222
REAL DATA,fingerprint,"[0.9,1.0)",25524,-0.00179303,0.0258475,0.01926
