evidence_label,table,column,type,nullable,primary_key
CONFIGURATION,audit_logs,audit_id,VARCHAR,False,True
CONFIGURATION,audit_logs,timestamp,DATETIME,False,False
CONFIGURATION,audit_logs,user_id,VARCHAR,False,False
CONFIGURATION,audit_logs,building_id,VARCHAR,True,False
CONFIGURATION,audit_logs,modality_list,JSON,False,False
CONFIGURATION,audit_logs,similarity_scores,JSON,False,False
CONFIGURATION,audit_logs,thresholds_used,JSON,False,False
CONFIGURATION,audit_logs,fusion_score,FLOAT,True,False
CONFIGURATION,audit_logs,face_similarity,FLOAT,True,False
CONFIGURATION,audit_logs,fingerprint_similarity,FLOAT,True,False
CONFIGURATION,audit_logs,voice_similarity,FLOAT,True,False
CONFIGURATION,audit_logs,fusion_similarity,FLOAT,True,False
CONFIGURATION,audit_logs,fusion_policy,VARCHAR,True,False
CONFIGURATION,audit_logs,template_set_version,INTEGER,True,False
CONFIGURATION,audit_logs,template_set_status,VARCHAR,True,False
CONFIGURATION,audit_logs,authentication_state,VARCHAR,True,False
CONFIGURATION,audit_logs,submitted_modalities,JSON,True,False
CONFIGURATION,audit_logs,enrolled_modalities,JSON,True,False
CONFIGURATION,audit_logs,authenticated_modalities,JSON,True,False
CONFIGURATION,audit_logs,authenticated,BOOLEAN,False,False
CONFIGURATION,audit_logs,latency_ms,INTEGER,False,False
CONFIGURATION,audit_logs,template_versions,JSON,False,False
CONFIGURATION,audit_logs,key_versions,JSON,False,False
CONFIGURATION,enrollment_events,event_id,VARCHAR,False,True
CONFIGURATION,enrollment_events,user_id,VARCHAR,False,False
CONFIGURATION,enrollment_events,application_id,VARCHAR,False,False
CONFIGURATION,enrollment_events,modality,VARCHAR,False,False
CONFIGURATION,enrollment_events,outcome,VARCHAR,False,False
CONFIGURATION,enrollment_events,created_at,DATETIME,False,False
CONFIGURATION,master_secret_fingerprint,id,INTEGER,False,True
CONFIGURATION,master_secret_fingerprint,fingerprint,BLOB,False,False
CONFIGURATION,master_secret_fingerprint,created_at,DATETIME,False,False
CONFIGURATION,users,id,VARCHAR,False,True
CONFIGURATION,users,username,VARCHAR,True,False
CONFIGURATION,users,created_at,DATETIME,False,False
CONFIGURATION,protected_templates,template_id,VARCHAR,False,True
CONFIGURATION,protected_templates,user_id,VARCHAR,False,False
CONFIGURATION,protected_templates,modality,VARCHAR,False,False
CONFIGURATION,protected_templates,application_id,VARCHAR,False,False
CONFIGURATION,protected_templates,template_version,INTEGER,False,False
CONFIGURATION,protected_templates,key_version,INTEGER,False,False
CONFIGURATION,protected_templates,output_bits,INTEGER,False,False
CONFIGURATION,protected_templates,protected_template,BLOB,False,False
CONFIGURATION,protected_templates,is_active,BOOLEAN,False,False
CONFIGURATION,protected_templates,created_at,DATETIME,False,False
CONFIGURATION,protected_templates,template_status,VARCHAR,False,False
CONFIGURATION,protected_templates,activation_time,DATETIME,True,False
CONFIGURATION,protected_templates,revoked_time,DATETIME,True,False
CONFIGURATION,protected_templates,revoked_reason,VARCHAR,True,False
CONFIGURATION,protected_templates,template_group_id,VARCHAR,True,False
CONFIGURATION,protected_templates,template_index,INTEGER,False,False
CONFIGURATION,protected_templates,template_set_version,INTEGER,False,False
CONFIGURATION,protected_templates,template_set_status,VARCHAR,False,False
CONFIGURATION,protected_templates,template_set_created_at,DATETIME,True,False
CONFIGURATION,protected_templates,template_set_activated_at,DATETIME,True,False
CONFIGURATION,protected_templates,template_set_revoked_at,DATETIME,True,False
