evidence_label,pair_id,sample_id,reference_id,genuine,baseline_score,aligned_score,baseline_prediction,aligned_prediction,baseline_raw_cosine,aligned_raw_cosine,ablation_deployed_bbox_score,ablation_deployed_aligned_score,v1_confounded_bbox_score,v1_confounded_aligned_score
REAL DATA,0,1,0,True,0.74484,0.89208,False,True,0.79873,0.90088,0.88579,0.84455,0.75399,0.82173
REAL DATA,1,2,0,True,0.8371,0.8371,True,True,0.80527,0.8002,0.81381,0.78055,0.75399,0.6347
REAL DATA,2,3,0,True,0.5325,0.5325,False,False,0.47297,0.51337,0.52053,0.50843,0.30023,0.39454
REAL DATA,3,4373,0,False,-0.159,-0.159,False,False,0.09998,-0.15792,-0.2,-0.02088,-0.2,-0.09736
REAL DATA,4,298,0,False,-0.08201,0.02457,False,False,0.09082,0.17739,-0.02088,0.08452,0.02457,0.00946
REAL DATA,5,6037,0,False,-0.2,-0.2,False,False,-0.43668,-0.43457,-0.2,-0.2,-0.2,-0.2
REAL DATA,6,5576,0,False,-0.08201,0.08452,False,False,0.21196,0.25826,0.38136,0.52053,0.17273,0.21593
REAL DATA,7,347,0,False,0.35469,0.23018,False,False,0.34098,0.21722,-0.09736,-0.11274,0.17273,-0.2
REAL DATA,8,3891,0,False,0.11417,0.02457,False,False,0.08328,0.00609,0.03963,0.03963,0.05464,0.02457
REAL DATA,9,5977,0,False,0.27246,-0.08201,False,False,0.26928,-0.02754,0.11417,-0.17444,0.2016,-0.11274
REAL DATA,10,3917,0,False,0.24436,0.25845,False,False,0.29253,0.19929,0.12891,0.21593,-0.09736,-0.05138
REAL DATA,11,1106,0,False,-0.2,-0.02088,False,False,-0.10585,-0.00063,0.05464,0.12891,-0.03612,-0.2
REAL DATA,12,3115,0,False,-0.06668,0.12891,False,False,-0.06101,0.15488,-0.17444,-0.00569,0.02457,-0.11274
REAL DATA,13,5671,0,False,0.11417,0.06961,False,False,0.24718,0.08535,0.14358,-0.02088,0.21593,-0.14356
REAL DATA,14,1171,0,False,-0.06668,-0.05138,False,False,-0.0465,0.02547,0.21593,0.08452,0.14358,0.06961
REAL DATA,15,2585,0,False,0.12891,-0.00569,False,False,0.22943,0.11218,0.12891,0.24436,-0.02088,-0.2
REAL DATA,16,4296,0,False,-0.2,-0.2,False,False,-0.33485,-0.43045,-0.2,-0.09736,-0.2,-0.12814
REAL DATA,17,67,0,False,0.35469,0.09937,False,False,0.0812,0.04453,-0.1899,-0.2,0.25845,-0.00569
REAL DATA,18,2271,0,False,0.03963,0.32765,False,False,0.16408,0.17906,0.14358,0.21593,0.00946,0.25845
REAL DATA,19,5646,0,False,-0.17444,-0.08201,False,False,-0.0229,-0.02638,0.1872,0.11417,0.12891,0.08452
REAL DATA,20,2929,0,False,0.15819,0.06961,False,False,0.15036,0.04856,0.02457,0.00946,0.06961,0.25845
REAL DATA,21,3804,0,False,0.2016,0.15819,False,False,0.0878,0.23462,0.24436,0.31398,0.21593,0.25845
REAL DATA,22,2237,0,False,0.50843,0.60178,False,False,0.51534,0.5669,0.4839,0.43348,0.57919,0.14358
REAL DATA,23,973,0,False,-0.2,-0.2,False,False,-0.299,-0.4137,-0.02088,-0.09736,-0.2,-0.14356
REAL DATA,24,4298,0,False,0.11417,0.45891,False,False,0.15482,0.29864,0.2016,0.23018,0.15819,0.05464
REAL DATA,25,4657,0,False,-0.11274,0.11417,False,False,-0.0664,0.09185,-0.05138,-0.00569,-0.00569,0.05464
REAL DATA,26,1194,0,False,0.17273,0.09937,False,False,0.22286,0.0645,0.14358,0.31398,0.12891,0.30023
REAL DATA,27,408,0,False,0.27246,0.25845,False,False,0.23517,0.17427,0.28639,0.09937,0.00946,0.35469
REAL DATA,28,2885,0,False,-0.14356,-0.11274,False,False,-0.13323,0.00804,0.05464,0.12891,-0.00569,0.39454
REAL DATA,29,2787,0,False,0.2016,0.11417,False,False,0.17336,0.14349,0.1872,0.32765,-0.03612,0.03963
REAL DATA,30,2144,0,False,-0.02088,0.15819,False,False,-0.00311,0.14488,-0.06668,0.2016,-0.2,0.15819
REAL DATA,31,4756,0,False,0.17273,-0.12814,False,False,0.00046,-0.0374,0.11417,0.32765,-0.08201,0.12891
REAL DATA,32,5262,0,False,0.08452,0.09937,False,False,0.21263,0.16933,0.21593,0.21593,-0.00569,-0.06668
REAL DATA,33,6120,0,False,0.35469,0.24436,False,False,0.29067,0.09013,0.1872,-0.11274,0.09937,0.06961
REAL DATA,34,1996,0,False,0.03963,0.23018,False,False,0.05105,0.28832,0.06961,0.27246,-0.02088,0.14358
REAL DATA,35,3753,0,False,0.03963,0.03963,False,False,-0.00849,0.01657,-0.1899,-0.1899,-0.09736,0.11417
REAL DATA,36,4613,0,False,0.08452,0.15819,False,False,0.12704,0.18546,0.05464,0.14358,0.03963,0.27246
REAL DATA,37,2788,0,False,-0.17444,-0.14356,False,False,-0.02144,-0.20908,-0.11274,-0.12814,0.00946,0.23018
REAL DATA,38,1279,0,False,0.32765,-0.12814,False,False,0.23511,-0.12191,0.39454,0.14358,0.35469,-0.03612
REAL DATA,39,493,0,False,0.12891,0.15819,False,False,0.15456,0.17235,0.25845,0.1872,0.02457,0.2016
REAL DATA,40,2138,0,False,0.11417,0.21593,False,False,0.02537,0.17889,-0.2,0.06961,-0.12814,0.24436
REAL DATA,41,2773,0,False,0.02457,-0.06668,False,False,0.0298,-0.11768,-0.03612,0.00946,-0.11274,-0.08201
REAL DATA,42,1064,0,False,0.17273,0.47146,False,False,0.28531,0.52029,0.05464,-0.05138,0.39454,0.43348
REAL DATA,43,3755,0,False,0.21593,0.11417,False,False,0.09021,0.12468,-0.2,-0.159,-0.06668,-0.09736
REAL DATA,44,3640,0,False,-0.12814,-0.03612,False,False,-0.05577,0.04921,-0.2,-0.09736,-0.2,0.14358
REAL DATA,45,1724,0,False,0.03963,0.14358,False,False,0.05776,0.05606,0.1872,-0.11274,-0.09736,-0.06668
REAL DATA,46,1677,0,False,-0.17444,0.23018,False,False,-0.14666,0.15202,-0.2,-0.14356,-0.2,0.17273
REAL DATA,47,3758,0,False,0.30023,0.09937,False,False,0.12691,0.181,-0.11274,-0.02088,-0.06668,0.2016
REAL DATA,48,1758,0,False,-0.14356,-0.02088,False,False,-0.08813,-0.06473,-0.12814,-0.12814,-0.14356,-0.2
REAL DATA,49,5839,0,False,0.06961,0.32765,False,False,0.09295,0.23026,-0.08201,0.05464,0.11417,0.02457
REAL DATA,50,556,0,False,0.09937,-0.00569,False,False,-0.03424,-0.09886,0.00946,-0.1899,0.11417,-0.17444
REAL DATA,51,1588,0,False,0.06961,0.30023,False,False,0.07223,0.23425,0.17273,0.00946,0.03963,0.50843
REAL DATA,52,1037,0,False,0.28639,0.34122,False,False,0.40758,0.31131,0.55609,0.44625,0.39454,0.28639
REAL DATA,53,5,4,True,0.6347,0.68687,False,False,0.5519,0.65423,0.54436,0.5325,0.6454,0.50843
REAL DATA,54,4286,4,False,0.2016,0.02457,False,False,0.20892,0.03425,0.05464,0.05464,0.02457,-0.09736
REAL DATA,55,4652,4,False,-0.14356,-0.2,False,False,-0.12674,-0.21196,-0.08201,-0.06668,0.00946,0.03963
REAL DATA,56,1897,4,False,0.12891,0.09937,False,False,0.14286,0.00585,-0.14356,-0.02088,-0.17444,0.30023
REAL DATA,57,2159,4,False,-0.11274,0.25845,False,False,-0.1721,0.11632,-0.09736,-0.12814,-0.00569,-0.2
