evidence_label,system,description,representation,score,n_genuine,n_impostor,EER,EER_threshold,ROC_AUC,TAR_at_FAR_1e-2,TAR_at_FAR_1e-3,at_EER_threshold,at_EER_TP,at_EER_FN,at_EER_FP,at_EER_TN,at_EER_FAR,at_EER_FRR,at_EER_TAR,at_EER_accuracy,at_EER_precision,at_EER_recall,at_EER_F1,at_operating_threshold,at_operating_TP,at_operating_FN,at_operating_FP,at_operating_TN,at_operating_FAR,at_operating_FRR,at_operating_TAR,at_operating_accuracy,at_operating_precision,at_operating_recall,at_operating_F1,EER_ci95_low,EER_ci95_high,genuine_score_mean,genuine_score_sd,impostor_score_mean,impostor_score_sd,genuine_hamming_mean,impostor_hamming_mean,protocol_identities,protocol_images_valid_both,protocol_images_total,protocol_genuine_pairs,protocol_impostor_pairs,protocol_impostors_per_identity,protocol_seed,protocol_identity_overlap_with_training
REAL DATA,A_deployed_bbox,deployed checkpoint + bounding-box crop (production),raw_embedding,raw_cosine,4523,80900,0.0711892,0.300764,0.968234,0.847889,0.668804,0.300764,4201,322,5759,75141,0.0711867,0.0711917,0.928808,0.928813,0.421787,0.928808,0.580128,0.8,764,3759,0,80900,0,0.831086,0.168914,0.955995,1,0.168914,0.289011,0.0654411,0.0761864,0.632357,0.201326,0.0527535,0.164007,0.756202,0.577988,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,A_deployed_bbox,deployed checkpoint + bounding-box crop (production),protected_template_256bit,estimated_cosine,4523,80900,0.0849549,0.327646,0.964081,0.774707,0.534159,0.327646,4142,381,6931,73969,0.0856737,0.0842361,0.915764,0.914402,0.374063,0.915764,0.531162,0.8,837,3686,2,80898,2.47219e-05,0.814946,0.185054,0.956827,0.997616,0.185054,0.312197,0.077639,0.0889566,0.630126,0.207833,0.0588776,0.180664,0.756202,0.577988,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,B_deployed_aligned,deployed checkpoint + aligned crop (inference-time preprocessing ablation),raw_embedding,raw_cosine,4523,80900,0.0824698,0.301384,0.964722,0.805439,0.601371,0.301384,4150,373,6672,74228,0.0824722,0.0824674,0.917533,0.917528,0.383478,0.917533,0.540893,0.8,687,3836,1,80899,1.23609e-05,0.84811,0.15189,0.955082,0.998547,0.15189,0.263673,0.0778245,0.0865567,0.614611,0.203737,0.0619643,0.168228,0.748599,0.580252,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,B_deployed_aligned,deployed checkpoint + aligned crop (inference-time preprocessing ablation),protected_template_256bit,estimated_cosine,4523,80900,0.0995897,0.327646,0.954161,0.725846,0.460977,0.327646,4062,461,7868,73032,0.0972559,0.101924,0.898076,0.902497,0.340486,0.898076,0.49377,0.8,763,3760,2,80898,2.47219e-05,0.831307,0.168693,0.95596,0.997386,0.168693,0.288578,0.0954893,0.107515,0.608668,0.217098,0.0668037,0.184639,0.748599,0.580252,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,C_repro_bbox,"reproduced bbox checkpoint (sklearn 125x94 slice) + bbox crop (v1 pair, confounded)",raw_embedding,raw_cosine,4523,80900,0.0672092,0.286275,0.970333,0.859828,0.666151,0.286275,4219,304,5437,75463,0.0672064,0.067212,0.932788,0.932793,0.43693,0.932788,0.595105,0.8,735,3788,0,80900,0,0.837497,0.162503,0.955656,1,0.162503,0.279574,0.0615903,0.0724286,0.62818,0.20076,0.0350157,0.162384,0.754288,0.573376,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,C_repro_bbox,"reproduced bbox checkpoint (sklearn 125x94 slice) + bbox crop (v1 pair, confounded)",protected_template_256bit,estimated_cosine,4523,80900,0.0841212,0.313983,0.963331,0.790405,0.567765,0.313983,4143,380,6814,74086,0.0842274,0.084015,0.915985,0.915784,0.378114,0.915985,0.535271,0.8,819,3704,0,80900,0,0.818925,0.181075,0.956639,1,0.181075,0.306627,0.0794811,0.0917916,0.624582,0.213205,0.0429614,0.177913,0.754288,0.573376,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,D_aligned_v1,"face_aligned_v1 (sklearn slice, ~39% black training crops) + aligned crop (v1 pair, confounded)",raw_embedding,raw_cosine,4523,80900,0.12519,0.265067,0.939473,0.595401,0.302896,0.265067,3957,566,10132,70768,0.125241,0.125138,0.874862,0.874764,0.280857,0.874862,0.42521,0.8,192,4331,2,80898,2.47219e-05,0.95755,0.0424497,0.949276,0.989691,0.0424497,0.0814077,0.119353,0.132668,0.504464,0.203987,0.06992,0.168465,0.710787,0.582921,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,D_aligned_v1,"face_aligned_v1 (sklearn slice, ~39% black training crops) + aligned crop (v1 pair, confounded)",protected_template_256bit,estimated_cosine,4523,80900,0.147219,0.286389,0.920348,0.488393,0.216449,0.286389,3854,669,11854,69046,0.146527,0.147911,0.852089,0.8534,0.245353,0.852089,0.380999,0.8,257,4266,6,80894,7.41656e-05,0.943179,0.0568207,0.94999,0.977186,0.0568207,0.107397,0.142544,0.152539,0.502067,0.218578,0.0762084,0.185014,0.710787,0.582921,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,E_bbox_v2,face_bbox_fullframe_v2 checkpoint + bounding-box crop (PRIMARY baseline),raw_embedding,raw_cosine,4523,80900,0.0699202,0.291488,0.969727,0.86027,0.680522,0.291488,4207,316,5661,75239,0.0699753,0.0698651,0.930135,0.930031,0.426328,0.930135,0.584671,0.8,754,3769,0,80900,0,0.833296,0.166704,0.955878,1,0.166704,0.285768,0.0646654,0.0740774,0.630228,0.200122,0.0441546,0.162859,0.756495,0.575949,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
REAL DATA,E_bbox_v2,face_bbox_fullframe_v2 checkpoint + bounding-box crop (PRIMARY baseline),protected_template_256bit,estimated_cosine,4523,80900,0.0866985,0.313983,0.963017,0.798806,0.585452,0.313983,4143,380,7231,73669,0.089382,0.084015,0.915985,0.910902,0.364252,0.915985,0.52123,0.8,852,3671,0,80900,0,0.811629,0.188371,0.957026,1,0.188371,0.317023,0.0786531,0.0914034,0.630487,0.211809,0.0518724,0.17851,0.756495,0.575949,1618,6141,6141,4523,80900,50,20260925,none (LFW identities with 2-19 images; training used >= 20)
