evidence_label,system,score,threshold,FAR,FRR,TAR,system_EER,system_EER_threshold
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.6,0.00278121,0.34203,0.65797,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.62,0.00206428,0.380942,0.619058,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.64,0.00147095,0.423613,0.576387,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.66,0.000964153,0.465841,0.534159,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.68,0.000618047,0.513818,0.486182,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.7,0.00039555,0.561574,0.438426,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.72,0.00025958,0.604908,0.395092,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.74,0.000160692,0.654433,0.345567,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.76,6.18047e-05,0.701526,0.298474,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.78,3.70828e-05,0.748839,0.251161,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.8,2.47219e-05,0.814946,0.185054,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.82,0,0.850542,0.149458,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.84,0,0.891223,0.108777,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.86,0,0.930356,0.069644,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.88,0,0.957771,0.0422286,0.0849549,0.327646
REAL DATA,A_deployed_bbox,protected_estimated_cosine,0.9,0,0.976122,0.023878,0.0849549,0.327646
REAL DATA,A_deployed_bbox,raw_cosine,0.6,0.00105068,0.32788,0.67212,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.62,0.000642769,0.369003,0.630997,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.64,0.000482077,0.410347,0.589653,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.66,0.00025958,0.45545,0.54455,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.68,0.000148331,0.501879,0.498121,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.7,9.88875e-05,0.552288,0.447712,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.72,4.94438e-05,0.609772,0.390228,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.74,1.23609e-05,0.66394,0.33606,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.76,1.23609e-05,0.72275,0.27725,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.78,0,0.777139,0.222861,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.8,0,0.831086,0.168914,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.82,0,0.876631,0.123369,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.84,0,0.916206,0.0837939,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.86,0,0.947159,0.052841,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.88,0,0.971258,0.028742,0.0711892,0.300764
REAL DATA,A_deployed_bbox,raw_cosine,0.9,0,0.984302,0.0156975,0.0711892,0.300764
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.6,0.00351051,0.382711,0.617289,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.62,0.00243511,0.422507,0.577493,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.64,0.00168109,0.466947,0.533053,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.66,0.00118665,0.515366,0.484634,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.68,0.000716934,0.562016,0.437984,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.7,0.00053152,0.604466,0.395534,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.72,0.000358467,0.651117,0.348883,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.74,0.000222497,0.694008,0.305992,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.76,0.000111248,0.734247,0.265753,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.78,8.65266e-05,0.779792,0.220208,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.8,2.47219e-05,0.831307,0.168693,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.82,2.47219e-05,0.869113,0.130887,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.84,2.47219e-05,0.908247,0.0917533,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.86,2.47219e-05,0.939642,0.0603582,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.88,1.23609e-05,0.962193,0.0378068,0.0995897,0.327646
REAL DATA,B_deployed_aligned,protected_estimated_cosine,0.9,1.23609e-05,0.977449,0.0225514,0.0995897,0.327646
REAL DATA,B_deployed_aligned,raw_cosine,0.6,0.00140915,0.372098,0.627902,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.62,0.000828183,0.414769,0.585231,0.0824698,0.301384
