evidence_label,policy,modalities,pairings,users_per_pairing,genuine_per_pairing,impostor_per_pairing,FAR_mean,FAR_sd,FRR_mean,FRR_sd,TAR_mean,TAR_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,TP_total,FN_total,FP_total,TN_total,F1_pooled
REAL DATA,face_only,face,20,24,72,1656,3.01932e-05,0.000135028,0.798611,0.0708914,0.201389,0.0708914,0.966696,0.00291763,0.997727,0.0101639,290,1150,1,33119,0.335066
REAL DATA,voice_only,voice,20,24,72,1656,0.0013285,0.000821929,0.24375,0.02039,0.75625,0.02039,0.988571,0.00139085,0.961431,0.0238659,1089,351,44,33076,0.846483
REAL DATA,fingerprint_only,fingerprint,20,24,72,1656,0.154197,0.0357875,0.0576389,0.0157876,0.942361,0.0157876,0.849826,0.0342651,0.217266,0.0437333,1357,83,5107,28013,0.34337
REAL DATA,ALL_REQUIRED(face+voice),face+voice,20,24,72,1656,0,0,0.848611,0.0606073,0.151389,0.0606073,0.964641,0.0025253,1,0,218,1222,0,33120,0.262967
REAL DATA,WEIGHTED(face+voice),face+voice,20,24,72,1656,0,0,0.592361,0.0563314,0.407639,0.0563314,0.975318,0.00234714,1,0,587,853,0,33120,0.579181
REAL DATA,OR(face+voice),face+voice,20,24,72,1656,0.0013587,0.000780611,0.19375,0.0350424,0.80625,0.0350424,0.990625,0.00161077,0.963098,0.0208451,1161,279,45,33075,0.877551
REAL DATA,MAJORITY(face+voice)=AND,face+voice,20,24,72,1656,0,0,0.848611,0.0606073,0.151389,0.0606073,0.964641,0.0025253,1,0,218,1222,0,33120,0.262967
REAL DATA,ALL_REQUIRED(3),face+voice+fingerprint,20,24,72,1656,0,0,0.856944,0.0589428,0.143056,0.0589428,0.964294,0.00245595,1,0,206,1234,0,33120,0.250304
REAL DATA,WEIGHTED(3),face+voice+fingerprint,20,24,72,1656,0,0,0.515278,0.0527239,0.484722,0.0527239,0.97853,0.00219683,1,0,698,742,0,33120,0.652947
REAL DATA,AT_LEAST_TWO(3)=MAJORITY,face+voice+fingerprint,20,24,72,1656,0.000241546,0.000532959,0.228472,0.0399182,0.771528,0.0399182,0.990249,0.00194466,0.992742,0.0160392,1111,329,8,33112,0.868308
REAL DATA,OR(3),face+voice+fingerprint,20,24,72,1656,0.155314,0.0356195,0.0145833,0.0138706,0.985417,0.0138706,0.85055,0.0342463,0.223437,0.0435162,1419,21,5144,27976,0.354617
