evidence_label,modality,user,measure,similarity,accepted,pool_exhausted_before
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.394531,,
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.558594,,
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.476562,,
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.46875,,
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.472656,,
REAL DATA,face,Jan_Ullrich,cross_set_same_embedding,0.519531,,
REAL DATA,face,Jan_Ullrich,within_key_genuine_before_revocation,0.734375,False,
REAL DATA,face,Jan_Ullrich,genuine_after_revocation_1,0.722656,False,
REAL DATA,face,Jan_Ullrich,genuine_after_revocation_2,0.726562,False,
REAL DATA,face,Jan_Ullrich,genuine_after_revocation_3,0.820312,True,
REAL DATA,face,Jan_Ullrich,revoked_template_vs_new_active,0.476562,False,
REAL DATA,face,Jan_Ullrich,genuine_after_reenrollment,0.746094,False,True
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.460938,,
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.515625,,
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.496094,,
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.46875,,
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.519531,,
REAL DATA,face,Michael_Douglas,cross_set_same_embedding,0.433594,,
REAL DATA,face,Michael_Douglas,within_key_genuine_before_revocation,0.871094,True,
REAL DATA,face,Michael_Douglas,genuine_after_revocation_1,0.890625,True,
REAL DATA,face,Michael_Douglas,genuine_after_revocation_2,0.855469,True,
REAL DATA,face,Michael_Douglas,genuine_after_revocation_3,0.847656,True,
REAL DATA,face,Michael_Douglas,revoked_template_vs_new_active,0.496094,False,
REAL DATA,face,Michael_Douglas,genuine_after_reenrollment,0.8125,False,True
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.488281,,
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.507812,,
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.515625,,
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.496094,,
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.472656,,
REAL DATA,face,Valentino_Rossi,cross_set_same_embedding,0.476562,,
REAL DATA,face,Valentino_Rossi,within_key_genuine_before_revocation,0.660156,False,
REAL DATA,face,Valentino_Rossi,genuine_after_revocation_1,0.730469,False,
REAL DATA,face,Valentino_Rossi,genuine_after_revocation_2,0.667969,False,
REAL DATA,face,Valentino_Rossi,genuine_after_revocation_3,0.703125,False,
REAL DATA,face,Valentino_Rossi,revoked_template_vs_new_active,0.515625,False,
REAL DATA,face,Valentino_Rossi,genuine_after_reenrollment,0.683594,False,True
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.421875,,
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.460938,,
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.542969,,
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.515625,,
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.457031,,
REAL DATA,face,Kathleen_Kennedy_Townsend,cross_set_same_embedding,0.457031,,
REAL DATA,face,Kathleen_Kennedy_Townsend,within_key_genuine_before_revocation,0.765625,False,
REAL DATA,face,Kathleen_Kennedy_Townsend,genuine_after_revocation_1,0.726562,False,
REAL DATA,face,Kathleen_Kennedy_Townsend,genuine_after_revocation_2,0.78125,False,
REAL DATA,face,Kathleen_Kennedy_Townsend,genuine_after_revocation_3,0.695312,False,
REAL DATA,face,Kathleen_Kennedy_Townsend,revoked_template_vs_new_active,0.542969,False,
REAL DATA,face,Kathleen_Kennedy_Townsend,genuine_after_reenrollment,0.738281,False,True
REAL DATA,face,Larry_Thompson,cross_set_same_embedding,0.496094,,
REAL DATA,face,Larry_Thompson,cross_set_same_embedding,0.519531,,
REAL DATA,face,Larry_Thompson,cross_set_same_embedding,0.53125,,
REAL DATA,face,Larry_Thompson,cross_set_same_embedding,0.5,,
