evidence_label,modality,measure,n,mean,sd,median,q1,q3,min,max,ci95_low,ci95_high,acceptance_rate,hamming_threshold
REAL DATA,face,cross_set_same_embedding,900,0.498728,0.0321626,0.496094,0.476562,0.519531,0.394531,0.617188,0.496624,0.500832,,0.81759
REAL DATA,face,genuine_after_reenrollment,150,0.764505,0.075537,0.773438,0.731445,0.8125,0.414062,0.898438,0.752318,0.776692,0.22,0.81759
REAL DATA,face,genuine_after_revocation_1,150,0.764036,0.0778467,0.775391,0.730469,0.81543,0.394531,0.914062,0.751477,0.776596,0.226667,0.81759
REAL DATA,face,genuine_after_revocation_2,150,0.764818,0.0765376,0.771484,0.730469,0.81543,0.476562,0.921875,0.752469,0.777166,0.233333,0.81759
REAL DATA,face,genuine_after_revocation_3,150,0.766146,0.073459,0.777344,0.734375,0.8125,0.484375,0.925781,0.754294,0.777998,0.22,0.81759
REAL DATA,face,revoked_template_vs_new_active,150,0.500078,0.0296749,0.5,0.480469,0.518555,0.4375,0.585938,0.49529,0.504866,0,0.81759
REAL DATA,face,within_key_genuine_before_revocation,150,0.760833,0.0763418,0.769531,0.726562,0.8125,0.484375,0.914062,0.748516,0.77315,0.213333,0.81759
REAL DATA,voice,cross_set_same_embedding,144,0.496853,0.0305953,0.498047,0.476562,0.519531,0.421875,0.570312,0.491814,0.501893,,0.782292
REAL DATA,voice,genuine_after_reenrollment,24,0.808919,0.054492,0.828125,0.780273,0.844727,0.691406,0.890625,0.785909,0.831929,0.708333,0.782292
REAL DATA,voice,genuine_after_revocation_1,24,0.816895,0.0522597,0.820312,0.788086,0.860352,0.671875,0.886719,0.794827,0.838962,0.791667,0.782292
REAL DATA,voice,genuine_after_revocation_2,24,0.808431,0.0457937,0.818359,0.78418,0.836914,0.691406,0.886719,0.789094,0.827768,0.75,0.782292
REAL DATA,voice,genuine_after_revocation_3,24,0.803711,0.0477479,0.8125,0.773438,0.839844,0.707031,0.882812,0.783549,0.823873,0.666667,0.782292
REAL DATA,voice,revoked_template_vs_new_active,24,0.503581,0.0320034,0.5,0.479492,0.52832,0.453125,0.570312,0.490067,0.517095,0,0.782292
REAL DATA,voice,within_key_genuine_before_revocation,24,0.811035,0.0524308,0.814453,0.773438,0.847656,0.707031,0.90625,0.788896,0.833175,0.708333,0.782292
