evidence_label,modality,score,rule,operating_point,selection,selected_on,evaluated_on,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1
REAL DATA,face,estimated_cosine,>=,TEACHER_REQUESTED_BASELINE,project requirement (not data-selected),n/a,development,2360,20856,0.8,407,1953,1,20855,4.79478e-05,0.827542,0.172458,0.915834,0.997549,0.172458,0.294075
REAL DATA,face,estimated_cosine,>=,TEACHER_REQUESTED_BASELINE,project requirement (not data-selected),n/a,test,2163,19659,0.8,430,1733,0,19659,0,0.801202,0.198798,0.920585,1,0.198798,0.331662
REAL DATA,face,estimated_cosine,>=,dev_EER_point,FAR = FRR on development,development,development,2360,20856,0.327646,2162,198,1876,18980,0.0899501,0.0838983,0.916102,0.910665,0.535414,0.916102,0.675836
REAL DATA,face,estimated_cosine,>=,dev_EER_point,FAR = FRR on development,development,test,2163,19659,0.327646,1980,183,1694,17965,0.0861692,0.0846047,0.915395,0.913986,0.538922,0.915395,0.678431
REAL DATA,face,estimated_cosine,>=,dev_FAR<=0.01,most permissive threshold with development FAR <= 0.01,development,development,2360,20856,0.532501,1763,597,187,20669,0.00896624,0.252966,0.747034,0.96623,0.904103,0.747034,0.818097
REAL DATA,face,estimated_cosine,>=,dev_FAR<=0.01,most permissive threshold with development FAR <= 0.01,development,test,2163,19659,0.532501,1667,496,164,19495,0.00834224,0.229311,0.770689,0.969755,0.910431,0.770689,0.834752
REAL DATA,face,estimated_cosine,>=,dev_FAR<=0.001,most permissive threshold with development FAR <= 0.001,development,development,2360,20856,0.676712,1153,1207,20,20836,0.000958957,0.511441,0.488559,0.947149,0.98295,0.488559,0.652703
REAL DATA,face,estimated_cosine,>=,dev_FAR<=0.001,most permissive threshold with development FAR <= 0.001,development,test,2163,19659,0.676712,1148,1015,13,19646,0.000661275,0.469256,0.530744,0.952892,0.988803,0.530744,0.690734
REAL DATA,voice,estimated_distance,<=,TEACHER_REQUESTED_BASELINE,project requirement (not data-selected),n/a,development,374,4246,0.75,315,59,22,4224,0.00518135,0.157754,0.842246,0.982468,0.934718,0.842246,0.886076
REAL DATA,voice,estimated_distance,<=,TEACHER_REQUESTED_BASELINE,project requirement (not data-selected),n/a,test,353,4015,0.75,239,114,0,4015,0,0.322946,0.677054,0.973901,1,0.677054,0.807432
REAL DATA,voice,estimated_distance,<=,dev_EER_point,FAR = FRR on development,development,development,374,4246,0.980336,365,9,105,4141,0.0247292,0.0240642,0.975936,0.975325,0.776596,0.975936,0.864929
REAL DATA,voice,estimated_distance,<=,dev_EER_point,FAR = FRR on development,development,test,353,4015,0.980336,337,16,45,3970,0.011208,0.0453258,0.954674,0.986035,0.882199,0.954674,0.917007
REAL DATA,voice,estimated_distance,<=,dev_FAR<=0.01,most permissive threshold with development FAR <= 0.01,development,development,374,4246,0.804703,340,34,40,4206,0.00942063,0.0909091,0.909091,0.983983,0.894737,0.909091,0.901857
REAL DATA,voice,estimated_distance,<=,dev_FAR<=0.01,most permissive threshold with development FAR <= 0.01,development,test,353,4015,0.804703,277,76,1,4014,0.000249066,0.215297,0.784703,0.982372,0.996403,0.784703,0.877971
REAL DATA,voice,estimated_distance,<=,dev_FAR<=0.001,most permissive threshold with development FAR <= 0.001,development,development,374,4246,0.701727,294,80,4,4242,0.000942063,0.213904,0.786096,0.981818,0.986577,0.786096,0.875
REAL DATA,voice,estimated_distance,<=,dev_FAR<=0.001,most permissive threshold with development FAR <= 0.001,development,test,353,4015,0.701727,212,141,0,4015,0,0.399433,0.600567,0.96772,1,0.600567,0.750442
