evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.6,2976,1547,225,80675,0.00278121,0.34203,0.65797,0.979256,0.929709,0.65797,0.770585,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.61,2890,1633,201,80699,0.00248455,0.361044,0.638956,0.97853,0.934973,0.638956,0.759128,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.62,2800,1723,167,80733,0.00206428,0.380942,0.619058,0.977875,0.943714,0.619058,0.747664,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.63,2696,1827,140,80760,0.00173053,0.403935,0.596065,0.976973,0.950635,0.596065,0.732708,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.64,2607,1916,119,80781,0.00147095,0.423613,0.576387,0.976177,0.956346,0.576387,0.719272,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.65,2519,2004,94,80806,0.00116193,0.443069,0.556931,0.97544,0.964026,0.556931,0.705998,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.66,2416,2107,78,80822,0.000964153,0.465841,0.534159,0.974421,0.968725,0.534159,0.688613,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.67,2301,2222,61,80839,0.000754017,0.491267,0.508733,0.973274,0.974174,0.508733,0.66841,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.68,2199,2324,50,80850,0.000618047,0.513818,0.486182,0.972209,0.977768,0.486182,0.649439,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.69,2086,2437,42,80858,0.000519159,0.538802,0.461198,0.97098,0.980263,0.461198,0.627274,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.7,1983,2540,32,80868,0.00039555,0.561574,0.438426,0.969891,0.984119,0.438426,0.606608,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.71,1896,2627,25,80875,0.000309023,0.580809,0.419191,0.968954,0.986986,0.419191,0.588454,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.72,1787,2736,21,80879,0.00025958,0.604908,0.395092,0.967725,0.988385,0.395092,0.564524,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.73,1669,2854,15,80885,0.000185414,0.630997,0.369003,0.966414,0.991093,0.369003,0.53778,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.74,1563,2960,13,80887,0.000160692,0.654433,0.345567,0.965197,0.991751,0.345567,0.512543,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.75,1452,3071,10,80890,0.000123609,0.678974,0.321026,0.963932,0.99316,0.321026,0.485213,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.76,1350,3173,5,80895,6.18047e-05,0.701526,0.298474,0.962797,0.99631,0.298474,0.45934,0.0849549,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,all,4523,80900,0.77,1247,3276,5,80895,6.18047e-05,0.724298,0.275702,0.961591,0.996006,0.275702,0.431861,0.0849549,0.327646
