evidence_label,modality,representation,score,rule,threshold,FAR,FRR,TAR,accuracy,precision,F1
REAL DATA,face,protected_template,estimated_cosine,>=,0.2,0.232151,0.0477559,0.952244,0.777613,0.186547,0.311977
REAL DATA,face,protected_template,estimated_cosine,>=,0.21,0.2111,0.0526199,0.94738,0.797291,0.20058,0.331067
REAL DATA,face,protected_template,estimated_cosine,>=,0.22,0.191075,0.0561574,0.943843,0.816068,0.216404,0.352082
REAL DATA,face,protected_template,estimated_cosine,>=,0.23,0.191075,0.0561574,0.943843,0.816068,0.216404,0.352082
REAL DATA,face,protected_template,estimated_cosine,>=,0.24,0.172596,0.059916,0.940084,0.83337,0.233434,0.373999
REAL DATA,face,protected_template,estimated_cosine,>=,0.25,0.15508,0.0643378,0.935662,0.849724,0.252235,0.397352
REAL DATA,face,protected_template,estimated_cosine,>=,0.26,0.137404,0.0665488,0.933451,0.866347,0.275264,0.425155
REAL DATA,face,protected_template,estimated_cosine,>=,0.27,0.137404,0.0665488,0.933451,0.866347,0.275264,0.425155
REAL DATA,face,protected_template,estimated_cosine,>=,0.28,0.122324,0.0703073,0.929693,0.88043,0.298206,0.451568
REAL DATA,face,protected_template,estimated_cosine,>=,0.29,0.10869,0.0753924,0.924608,0.893073,0.322312,0.477997
REAL DATA,face,protected_template,estimated_cosine,>=,0.3,0.10869,0.0753924,0.924608,0.893073,0.322312,0.477997
REAL DATA,face,protected_template,estimated_cosine,>=,0.31,0.0965142,0.0802565,0.919744,0.904347,0.347594,0.504518
REAL DATA,face,protected_template,estimated_cosine,>=,0.32,0.0856737,0.0842361,0.915764,0.914402,0.374063,0.531162
REAL DATA,face,protected_template,estimated_cosine,>=,0.33,0.075958,0.0888791,0.911121,0.923358,0.401422,0.557306
REAL DATA,face,protected_template,estimated_cosine,>=,0.34,0.075958,0.0888791,0.911121,0.923358,0.401422,0.557306
REAL DATA,face,protected_template,estimated_cosine,>=,0.35,0.0669592,0.0928587,0.907141,0.931669,0.430987,0.584348
REAL DATA,face,protected_template,estimated_cosine,>=,0.36,0.0588381,0.0972806,0.902719,0.939126,0.461721,0.610953
REAL DATA,face,protected_template,estimated_cosine,>=,0.37,0.0515822,0.104134,0.895866,0.945635,0.492644,0.635708
REAL DATA,face,protected_template,estimated_cosine,>=,0.38,0.0515822,0.104134,0.895866,0.945635,0.492644,0.635708
REAL DATA,face,protected_template,estimated_cosine,>=,0.39,0.0446848,0.110767,0.889233,0.951816,0.526647,0.661513
REAL DATA,face,protected_template,estimated_cosine,>=,0.4,0.0386897,0.119169,0.880831,0.957049,0.560022,0.684713
REAL DATA,face,protected_template,estimated_cosine,>=,0.41,0.0333869,0.130665,0.869335,0.961462,0.592794,0.704912
REAL DATA,face,protected_template,estimated_cosine,>=,0.42,0.0333869,0.130665,0.869335,0.961462,0.592794,0.704912
REAL DATA,face,protected_template,estimated_cosine,>=,0.43,0.0287021,0.140836,0.859164,0.965361,0.625966,0.724257
REAL DATA,face,protected_template,estimated_cosine,>=,0.44,0.0244376,0.151006,0.848994,0.968861,0.660134,0.742747
