threshold,accuracy,far,frr,eer,tp,fp,tn,fn
0.5,0.546875,0.9,0.00625,0.19375,159,144,16,1
0.51,0.578125,0.8375,0.00625,0.19375,159,134,26,1
0.52,0.6,0.79375,0.00625,0.19375,159,127,33,1
0.53,0.640625,0.70625,0.0125,0.19375,158,113,47,2
0.54,0.709375,0.5625,0.01875,0.19375,157,90,70,3
0.55,0.734375,0.5,0.03125,0.19375,155,80,80,5
0.56,0.75625,0.425,0.0625,0.19375,150,68,92,10
0.57,0.790625,0.3375,0.08125,0.19375,147,54,106,13
0.58,0.80625,0.21875,0.16875,0.19375,133,35,125,27
0.59,0.815625,0.15625,0.2125,0.19375,126,25,135,34
0.6,0.815625,0.10625,0.2625,0.19375,118,17,143,42
0.61,0.775,0.04375,0.40625,0.19375,95,7,153,65
0.62,0.734375,0.0375,0.49375,0.19375,81,6,154,79
0.63,0.6875,0.025,0.6,0.19375,64,4,156,96
0.64,0.65625,0.00625,0.68125,0.19375,51,1,159,109
0.65,0.590625,0.00625,0.8125,0.19375,30,1,159,130
0.66,0.575,0.0,0.85,0.19375,24,0,160,136
0.67,0.55625,0.0,0.8875,0.19375,18,0,160,142
0.68,0.521875,0.0,0.95625,0.19375,7,0,160,153
0.69,0.515625,0.0,0.96875,0.19375,5,0,160,155
0.7,0.509375,0.0,0.98125,0.19375,3,0,160,157
0.71,0.509375,0.0,0.98125,0.19375,3,0,160,157
0.72,0.50625,0.0,0.9875,0.19375,2,0,160,158
0.73,0.503125,0.0,0.99375,0.19375,1,0,160,159
0.74,0.5,0.0,1.0,0.19375,0,0,160,160
0.75,0.5,0.0,1.0,0.19375,0,0,160,160
0.76,0.5,0.0,1.0,0.19375,0,0,160,160
0.77,0.5,0.0,1.0,0.19375,0,0,160,160
0.78,0.5,0.0,1.0,0.19375,0,0,160,160
0.79,0.5,0.0,1.0,0.19375,0,0,160,160
0.8,0.5,0.0,1.0,0.19375,0,0,160,160
0.81,0.5,0.0,1.0,0.19375,0,0,160,160
0.82,0.5,0.0,1.0,0.19375,0,0,160,160
0.83,0.5,0.0,1.0,0.19375,0,0,160,160
0.84,0.5,0.0,1.0,0.19375,0,0,160,160
0.85,0.5,0.0,1.0,0.19375,0,0,160,160
0.86,0.5,0.0,1.0,0.19375,0,0,160,160
0.87,0.5,0.0,1.0,0.19375,0,0,160,160
0.88,0.5,0.0,1.0,0.19375,0,0,160,160
0.89,0.5,0.0,1.0,0.19375,0,0,160,160
0.9,0.5,0.0,1.0,0.19375,0,0,160,160
0.91,0.5,0.0,1.0,0.19375,0,0,160,160
0.92,0.5,0.0,1.0,0.19375,0,0,160,160
0.93,0.5,0.0,1.0,0.19375,0,0,160,160
0.94,0.5,0.0,1.0,0.19375,0,0,160,160
0.95,0.5,0.0,1.0,0.19375,0,0,160,160
0.96,0.5,0.0,1.0,0.19375,0,0,160,160
0.97,0.5,0.0,1.0,0.19375,0,0,160,160
0.98,0.5,0.0,1.0,0.19375,0,0,160,160
0.99,0.5,0.0,1.0,0.19375,0,0,160,160
1.0,0.5,0.0,1.0,0.19375,0,0,160,160
